time,price,status,amount
93728,12.83,B,200
93733,12.8,S,1000
93737,12.83,B,200
93738,12.8,S,1000
93738,12.8,S,300
93739,12.83,B,100
93744,12.8,S,600
93751,12.83,B,1500
93751,12.83,B,500
93756,12.82,S,500
93756,12.8,S,700
93756,12.8,S,200
93756,12.8,S,900
93756,12.8,S,2000
93757,12.8,B,2000
93757,12.8,B,400
93758,12.79,S,1300
93758,12.79,S,200
93758,12.8,B,500
93759,12.8,B,200
93800,12.8,B,900
93802,12.8,B,100
93806,12.8,B,900
93807,12.8,B,500
93807,12.8,B,100
93807,12.8,B,100
93807,12.8,B,500
93809,12.8,B,9500
93811,12.82,B,300
93812,12.8,S,700
93816,12.8,B,100
93817,12.81,S,200
93818,12.82,B,200
93818,12.83,B,1000
93818,12.83,B,300
93818,12.83,B,200
93818,12.83,B,1000
93818,12.83,B,300
93818,12.81,S,400
93821,12.81,S,100
93822,12.81,B,1400
93826,12.8,S,200
93826,12.8,S,3800
93827,12.82,B,800
93828,12.82,S,200
93828,12.8,S,9800
93835,12.82,S,1000
93836,12.81,B,400
93837,12.81,B,800
93840,12.81,B,1000
93840,12.81,B,600
93840,12.81,B,100
93842,12.8,S,5000
93844,12.81,B,1100
93844,12.83,B,2300
93845,12.83,S,300
93846,12.83,S,1600
93846,12.83,S,800
93847,12.83,B,1000
93848,12.81,S,1000
93900,12.83,B,200
93900,12.83,B,300
93905,12.82,B,400
93905,12.82,B,200
93905,12.83,B,200
93907,12.83,B,5000
93908,12.83,B,1000
93909,12.82,S,900
93909,12.81,S,1100
93910,12.82,B,500
93910,12.83,B,3500
93913,12.83,S,400
93913,12.84,B,100
93913,12.84,B,500
93913,12.84,B,900
93913,12.84,B,1500
93913,12.84,B,2000
93916,12.83,S,600
93916,12.82,S,500
93916,12.82,B,200
93920,12.82,B,700
93922,12.82,S,300
93922,12.82,S,200
93924,12.84,B,200
93924,12.84,B,300
93924,12.84,B,300
93924,12.84,B,200
93925,12.84,B,800
93925,12.85,B,4300
93927,12.84,S,500
93935,12.84,B,500
93935,12.85,B,700
93935,12.85,B,800
93943,12.84,S,1000
93944,12.85,B,1200
93945,12.85,B,500
93947,12.85,B,600
93948,12.84,S,900
93950,12.85,B,1000
93951,12.85,B,300
93952,12.85,B,500
93953,12.85,B,100
93955,12.85,B,900
93955,12.85,B,600
93955,12.85,B,100
93956,12.85,B,400
93956,12.85,B,1000
93956,12.85,B,500
94001,12.85,S,3000
94006,12.85,S,15100
94006,12.85,S,7000
94006,12.85,S,2000
94006,12.85,S,2300
94006,12.85,S,1000
94006,12.85,S,600
94006,12.84,S,8100
94006,12.84,S,1700
94006,12.84,S,400
94006,12.83,S,400
94006,12.83,S,200
94006,12.83,S,1000
94006,12.83,S,600
94006,12.82,S,1800
94006,12.82,S,1500
94006,12.82,S,700
94006,12.82,S,5000
94006,12.81,S,400
94006,12.81,S,200
94010,12.86,B,200
94012,12.86,B,500
94020,12.85,S,2000
94020,12.85,S,3000
94020,12.85,S,100
94020,12.85,S,500
94020,12.85,S,900
94020,12.85,S,1000
94021,12.85,B,400
94022,12.85,B,600
94023,12.85,B,1000
94024,12.85,B,100
94027,12.85,B,2600
94032,12.85,B,300
94032,12.85,B,500
94034,12.85,B,800
94036,12.85,B,4000
94036,12.85,B,16300
94036,12.85,B,1000
94036,12.85,B,300
94036,12.85,B,1000
94036,12.86,B,300
94036,12.86,B,100
94038,12.85,B,5200
94041,12.85,B,1800
94042,12.85,B,3000
94042,12.85,B,400
94042,12.86,B,100
94042,12.86,B,1000
94042,12.86,B,300
94042,12.86,B,1000
94043,12.86,S,200
94048,12.86,S,200
94053,12.86,S,2000
94055,12.87,B,100
94058,12.87,B,1000
94058,12.86,S,1000
94059,12.86,S,800
94059,12.86,S,600
94059,12.85,S,6700
94059,12.85,S,1900
94101,12.87,B,300
94101,12.87,B,500
94107,12.88,B,200
94115,12.88,B,400
94115,12.88,B,1000
94115,12.88,B,1000
94115,12.88,B,600
94116,12.88,B,900
94116,12.88,B,100
94117,12.87,S,1000
94120,12.87,S,1200
94120,12.87,S,300
94121,12.87,S,1000
94123,12.88,B,2000
94124,12.88,B,500
94127,12.87,S,200
94127,12.87,S,500
94128,12.87,S,1000
94129,12.88,B,600
94129,12.87,S,500
94134,12.87,B,700
94139,12.86,S,2000
94139,12.85,S,8100
94139,12.85,S,4100
94139,12.85,S,1000
94140,12.85,B,2000
94146,12.85,B,1600
94147,12.85,B,500
94148,12.85,B,7043
94148,12.86,B,100
94148,12.87,B,1800
94148,12.87,B,2500
94148,12.87,B,2000
