time,open,high,low,close,max_amount_price
38,12.55,12.88,12.52,12.79,12.85
39,12.79,12.84,12.62,12.79,12.8
40,12.8,12.97,12.79,12.86,12.86
41,12.82,12.9,12.81,12.81,12.86
42,12.81,12.81,12.6,12.75,12.69
43,12.75,12.82,12.7,12.78,12.76
44,12.79,12.82,12.64,12.7,12.65
45,12.7,12.73,12.6,12.64,12.66
52,12.63,12.69,12.58,12.61,12.61
53,12.61,12.71,12.59,12.63,12.65
54,12.63,12.63,12.48,12.55,12.56
55,12.55,12.65,12.52,12.65,12.55
56,12.64,12.64,12.35,12.48,12.42
57,12.49,12.61,12.39,12.48,12.41
58,12.48,12.6,12.3,12.41,12.49
59,12.42,12.55,12.26,12.45,12.31
